## Mean, standard deviation, standard error (sd/sqrt(n)), and number of answers to the question "How happy are you?"
## on a 0(extremely unhappy)-10(extremely happy) scale, as computed from the data table corresponding to the ESS from 2002 to 2020
## downloaded from the data portal at http://www.europeansocialsurvey.org/.
## Mathieu Kessler, Universidad Politécnica de Cartagena, July, 2023.
country;year;n;mean;sd
Austria;2002;2246;7.57;1.98660855890676
Austria;2004;2236;7.493;1.90189002944637
Austria;2006;2377;7.444;1.97538516818455
Austria;2014;1795;7.508635097493037;4.298156001646115
Austria;2016;2010;7.88457711442786;5.292782819123346
Austria;2018;2499;8.062024809923969;4.759524863189965
Belgium;2002;1891;7.758;1.62672493888655
Belgium;2004;1775;7.744;1.51890183194854
Belgium;2006;1797;7.67;1.57093789325003
Belgium;2008;1757;7.642;1.62136595288079
Belgium;2010;1704;7.818;1.45098116414391
Belgium;2012;1869;7.699;1.50493252908411
Belgium;2014;1769;7.8422837761447175;3.063893248832276
Belgium;2016;1766;7.792751981879954;2.2050864744907193
Belgium;2018;1767;7.939445387662705;3.469697381434235
Belgium;2020;1341;7.790454884414617;2.671032812502138
Bulgaria;2006;1343;5.229;2.55661675646244
Bulgaria;2008;2204;5.212;2.65508032086164
Bulgaria;2010;2420;5.432;2.59401926652573
Bulgaria;2012;2228;5.273;2.69090496189153
Bulgaria;2018;2198;6.116469517743402;7.109654939316476
Bulgaria;2020;2718;6.300956585724794;2.8486427243429917
Croatia;2008;1474;6.814;2.07104366577423
Croatia;2010;1635;6.59;2.15536097440437
Croatia;2018;1810;7.738674033149172;5.403937348917117
Croatia;2020;1592;7.6444723618090435;3.813269642402932
Cyprus;2006;992;7.696;1.73194358744206
Cyprus;2008;1212;7.472;1.65400379115513
Cyprus;2010;1051;7.274;1.94991175922773
Cyprus;2012;1106;7.192;2.08926441300028
Cyprus;2018;781;7.535211267605634;4.273994362171395
Czech Republic;2002;1348;6.747;2.08409041841194
Czech Republic;2004;2996;6.812;2.00133189111135
Czech Republic;2008;2002;6.843;1.90419863601791
Czech Republic;2010;2367;6.586;1.94365515955631
Czech Republic;2012;1963;6.648;2.04703792337316
Czech Republic;2014;2148;7.986499068901298;9.561864570410766
Czech Republic;2016;2269;7.068312031732042;4.300568624223819
Czech Republic;2018;2398;7.884070058381988;8.448715727566995
Czech Republic;2020;2476;7.527463651050078;7.164816744235392
Denmark;2002;1489;8.314;1.46022842866396
Denmark;2004;1481;8.3;1.46043806811637
Denmark;2006;1490;8.324;1.40059137938139
Denmark;2008;1603;8.366;1.34993219233865
Denmark;2010;1571;8.287;1.41887037078117
Denmark;2012;1645;8.373;1.50020214236452
Denmark;2014;1502;8.5832223701731;5.71666668177512
Denmark;2018;1572;8.782442748091604;5.748694004943655
Estonia;2004;1978;6.27;2.0521591363492
Estonia;2006;1484;6.791;1.94587262505658
Estonia;2008;1644;6.689;1.97154920809182
Estonia;2010;1792;6.905;1.92876275565929
Estonia;2012;2369;6.82;2.03053690598344
Estonia;2014;2051;7.015602145294978;3.2307592350413357
Estonia;2016;2019;7.4378405151064895;4.436812677107037
Estonia;2018;1904;7.329306722689076;1.8117565334959358
Estonia;2020;1542;7.551232166018157;2.689592586176141
Finland;2002;1995;8.023;1.48144207434038
Finland;2004;2018;8.059;1.40195094507513
Finland;2006;1894;8.009;1.41032577164003
Finland;2008;2191;8.016;1.43653308389057
Finland;2010;1877;7.957;1.44892627988586
Finland;2012;2193;8.086;1.345457008805
Finland;2014;2087;8.081456636320077;2.2151912075949545
Finland;2016;1925;8.269090909090911;3.464297478762023
Finland;2018;1755;8.314529914529915;3.564072233006317
Finland;2020;1577;8.293595434369056;3.476449530958115
France;2002;1503;7.336;1.9073393245123
France;2004;1804;7.19;1.91623844853469
France;2006;1982;7.155;1.75558659438522
France;2008;2071;7.102;1.78792682884787
France;2010;1726;6.985;1.83430441316583
France;2014;1917;7.3067292644757424;3.405114291234863
France;2016;2070;7.286473429951694;2.9481684278210407
France;2018;2010;7.5636815920398;5.14306758939436
France;2020;1977;7.523520485584219;3.076878996815242
Germany;2002;2913;7.148;1.95261703195817
Germany;2004;2858;7.037;1.99409457338475
Germany;2006;2906;7.008;1.96229091558327
Germany;2008;2739;7.186;1.95401932172605
Germany;2010;3013;7.366;1.87306498470485
Germany;2012;2955;7.634;1.81611562350859
Germany;2014;3045;7.733990147783249;3.6148571008130252
Germany;2016;2852;7.833099579242641;2.9353226476574004
Germany;2018;2358;7.910941475826971;3.108509794025418
Greece;2002;2560;6.497;2.25919846489322
Greece;2004;2392;6.746;2.09072667599673
Greece;2008;2063;6.668;1.94253270587436
Greece;2010;2680;5.992;2.15810357291453
Greece;2020;2799;6.717041800643086;3.6041581649467074
Hungary;2002;1678;6.323;2.32876209165577
Hungary;2004;1483;6.391;2.49569951210698
Hungary;2006;1508;6.234;2.54633862764184
Hungary;2008;1535;5.937;2.41217946701035
Hungary;2010;1553;6.431;2.38086890890872
Hungary;2014;1698;6.690223792697291;5.395662595711863
Hungary;2016;1614;6.989467162329615;4.185175986981726
Hungary;2018;1661;6.777242624924746;3.774005874943702
Hungary;2020;1849;7.143320713899406;3.687540447413118
Iceland;2004;564;8.465;1.39487218654085
Iceland;2012;746;8.209;1.47619691407906
Iceland;2016;880;8.315909090909091;4.086128657940922
Iceland;2018;861;8.367015098722414;2.6759095886288757
Iceland;2020;903;8.488372093023255;6.232881470620441
Ireland;2002;2033;7.881;1.78099935527174
Ireland;2004;2274;7.94;1.71376268197439
Ireland;2006;1794;7.72;1.83993832888494
Ireland;2008;1764;7.554;1.79017218039286
Ireland;2010;2570;6.853;2.11160134852105
Ireland;2012;2621;7.054;1.97130635669445
Ireland;2014;2390;7.323430962343102;3.6364157364314518
Ireland;2016;2757;7.535727239753355;2.3461151896069357
Ireland;2018;2216;7.812725631768951;3.3840204185051364
Ireland;2020;1770;7.851977401129943;4.881595092751383
Israel;2002;2465;7.135;2.18097078264306
Israel;2008;2438;7.544;2.00982014152934
Israel;2010;2241;7.6;2.03511559071081
Israel;2012;2468;7.866;1.81403146655679
Israel;2014;2562;8.204918032786884;7.34196822893764
Israel;2016;2557;8.492373875635511;7.093305636687867
Italy;2002;1201;6.462;2.09232963347278
Italy;2016;2626;7.474105102817968;5.517927117590792
Italy;2018;2745;7.351548269581055;5.1560826232169195
Italy;2020;2640;7.3946969696969695;5.355024617485453
Kosovo;2012;1272;6.442;2.47876845240029
Latvia;2008;1955;6.408;2.06927894585068
Latvia;2018;918;7.709150326797387;6.962224222594893
Lithuania;2010;1652;6.086;2.28624803712807
Lithuania;2014;2250;8.003111111111094;11.99935114264409
Lithuania;2016;2122;7.913760603204514;11.504241847091485
Lithuania;2018;1835;7.110626702997274;4.883961175192901
Lithuania;2020;1659;7.450271247739601;5.502310479603607
Luxembourg;2002;1544;7.919;1.93734333873258
Luxembourg;2004;1629;7.761;1.85313083851938
Macedonia, the former Yugoslav Republic of;2020;1429;6.793561931420573;3.986505666597021
Montenegro;2018;1200;7.84916666666667;4.607143451337995
Montenegro;2020;1278;7.80907668231612;4.792598599867908
Netherlands;2002;2359;7.795;1.41161753181507
Netherlands;2004;1878;7.689;1.41365012007426
Netherlands;2006;1885;7.641;1.43398053408406
Netherlands;2008;1776;7.696;1.41486313368361
Netherlands;2010;1826;7.792;1.36996024324928
Netherlands;2012;1842;7.814;1.41193766908003
Netherlands;2014;1919;7.77853048462741;1.3732274489963683
Netherlands;2016;1681;8.009518143961927;3.3505372445624677
Netherlands;2018;1673;8.10101613867304;2.660396266909891
Netherlands;2020;1470;8.016326530612243;3.4153786828830115
Norway;2002;2034;7.872;1.54400762091305
Norway;2004;1755;7.902;1.56370768943925
Norway;2006;1748;7.922;1.56355759523642
Norway;2008;1546;7.981;1.51908634282
Norway;2010;1548;8.01;1.50493361501366
Norway;2012;1619;8.167;1.44488379794116
Norway;2014;1436;8.039693593314762;2.6290705906951137
Norway;2016;1545;8.157281553398057;2.3180945954486782
Norway;2018;1406;8.156472261735422;3.8533228349112365
Norway;2020;1411;7.8214032600992205;1.6418709319322566
Poland;2002;2101;6.424;2.25722683543918
Poland;2004;1711;6.725;2.24036611092766
Poland;2006;1715;6.955;2.12891025930353
Poland;2008;1601;7.151;2.05169585733735
Poland;2010;1680;7.318;2.02527963290619
Poland;2012;1875;7.319;2.00886595638065
Poland;2014;1615;8.172136222910218;9.213028398625111
Poland;2016;1694;9.640495867768594;13.895144885113877
Poland;2018;1500;8.205999999999998;8.812680611465884
Portugal;2002;1501;6.836;1.9865448791646
Portugal;2004;2048;6.481;1.76087087974483
Portugal;2006;2174;6.426;1.86647479613775
Portugal;2008;2361;6.423;2.06583769572754
Portugal;2010;2142;6.598;1.98748166251343
Portugal;2012;2142;6.44;1.94574770392966
Portugal;2014;1265;7.162055335968383;5.332443292568101
Portugal;2016;1270;7.47952755905512;4.28192526060186
Portugal;2018;1055;7.636018957345973;4.01352448892114
Portugal;2020;1838;7.209466811751905;4.657008419981152
Romania;2008;2088;6.091;2.1501502832546
Russia;2016;2430;7.378600823045271;9.665753767849653
Russian Federation;2006;2390;5.907;2.27611190292099
Russian Federation;2008;2475;6.039;2.21708147766215
Russian Federation;2010;2568;6.143;2.23840399878241
Russian Federation;2012;2441;6.229;2.14623679085413
Russian Federation;2016;2430;7.378600823045271;9.665753767849653
Serbia;2018;2043;7.4175232501223665;7.6005455197422664
Slovakia;2004;1493;6.244;2.15003589815794
Slovakia;2006;1736;6.532;2.00339677292564
Slovakia;2008;1780;6.616;1.93513575823931
Slovakia;2010;1832;6.662;1.89886578510734
Slovakia;2012;1828;6.659;1.85970478407769
Slovakia;2018;1083;7.132963988919667;6.861102366227168
Slovakia;2020;1418;6.669252468265161;4.030396101687403
Slovenia;2002;1510;6.927;2.07349068861395
Slovenia;2004;1433;7.186;1.93562166992953
Slovenia;2006;1466;7.245;1.99208108551445
Slovenia;2008;1280;7.237;1.90170437817248
Slovenia;2010;1393;7.282;1.90464762525863
Slovenia;2012;1254;7.254;1.98790949820375
Slovenia;2014;1224;7.341503267973857;5.212982381505134
Slovenia;2016;1307;7.758224942616678;5.089219236419785
Slovenia;2018;1318;7.869499241274659;4.935387678127056
Slovenia;2020;1252;7.983226837060705;5.442134209210719
Spain;2002;1703;7.301;1.84943633285553
Spain;2004;1655;7.325;1.76497546168882
Spain;2006;1874;7.636;1.65542378338459
Spain;2008;2570;7.64;1.61877696279809
Spain;2010;1884;7.574;1.63442928420261
Spain;2012;1885;7.576;1.87241631229964
Spain;2014;1925;7.502857142857143;3.048740775274333
Spain;2016;1958;7.9407558733401435;4.277254292502743
Spain;2018;1668;7.981414868105515;4.8012960570851355
Sweden;2002;1989;7.89;1.57936935900645
Sweden;2004;1934;7.842;1.63823401298929
Sweden;2006;1920;7.884;1.55919072311917
Sweden;2008;1827;7.829;1.60205113187789
Sweden;2010;1495;7.912;1.54966692911855
Sweden;2012;1846;7.815;1.56953599183855
Sweden;2014;1791;8.173646007816865;4.859650083476835
Sweden;2016;1551;8.292069632495167;6.04705699981561
Sweden;2018;1539;8.267056530214422;5.588468049519041
Switzerland;2002;2036;7.981;1.46449489760379
Switzerland;2004;2135;8.029;1.5434993439019
Switzerland;2006;1800;8.065;1.46600214692327
Switzerland;2008;1817;7.942;1.56695178122219
Switzerland;2010;1506;8.065;1.45174824692148
Switzerland;2012;1489;8.081;1.51046431505318
Switzerland;2014;1532;8.089425587467364;1.4999997157667844
Switzerland;2016;1525;8.28;3.0763939076564473
Switzerland;2018;1542;8.223086900129701;2.3052655503987984
Switzerland;2020;1523;8.086014445173998;1.4875153037965891
Total;2002;42150;7.362;1.97107593616014
Total;2004;47250;7.195;2.03694639683148
Total;2006;42615;7.142;2.0635008686879
Total;2008;56246;6.94;2.14722237818144
Total;2010;51993;6.992;2.10715609167607
Total;2012;43933;7.274;2.01373002215272
Total;2014;40185;7.726838372527063;5.583043872078018
Total;2016;44387;7.8299502106472145;5.868323473453144
Total;2018;49519;7.72541852622226;5.201426627532718
Total;2020;37611;7.429023423998275;4.295076353635011
Turkey;2004;1848;6.665;2.56864043167327
Turkey;2008;2336;5.504;2.66045910905581
Ukraine;2004;1982;5.46;2.39461579412005
Ukraine;2006;1947;5.623;2.46883179668998
Ukraine;2008;1785;5.343;2.43227829199196
Ukraine;2010;1849;5.597;2.44971027019822
