edad;trabajo;estado;educacion;presCasa;prestamo;contacto;mes;dia;duracion;deposito
30;blue-collar;married;basic.9y;yes;no;cellular;may;fri;487;0
39;services;single;high.school;no;no;telephone;may;fri;346;0
25;services;married;high.school;yes;no;telephone;jun;wed;227;0
38;services;married;basic.9y;unknown;unknown;telephone;jun;fri;17;0
47;admin.;married;university.degree;yes;no;cellular;nov;mon;58;0
32;services;single;university.degree;no;no;cellular;sep;thu;128;0
32;admin.;single;university.degree;yes;no;cellular;sep;mon;290;0
41;entrepreneur;married;university.degree;yes;no;cellular;nov;mon;44;0
31;services;divorced;professional.course;no;no;cellular;nov;tue;68;0
35;blue-collar;married;basic.9y;no;no;telephone;may;thu;170;0
25;services;single;basic.6y;yes;no;cellular;jul;thu;301;0
36;self-employed;single;basic.4y;no;no;cellular;jul;thu;148;0
36;admin.;married;high.school;no;no;telephone;may;wed;97;0
47;blue-collar;married;basic.4y;yes;no;telephone;jun;thu;211;0
29;admin.;single;high.school;no;no;cellular;may;fri;553;0
27;services;single;university.degree;no;no;cellular;jul;wed;698;0
44;admin.;divorced;university.degree;no;no;cellular;jul;wed;191;0
46;admin.;divorced;university.degree;yes;no;telephone;jul;mon;59;0
45;entrepreneur;married;university.degree;yes;yes;cellular;aug;mon;38;0
50;blue-collar;married;basic.4y;no;yes;cellular;jul;tue;849;1
55;services;married;basic.6y;yes;no;cellular;jul;tue;326;0
39;technician;divorced;high.school;no;no;cellular;mar;mon;222;1
29;technician;single;university.degree;yes;yes;cellular;aug;wed;626;0
40;management;married;high.school;no;yes;cellular;aug;wed;119;0
44;technician;married;professional.course;yes;no;telephone;may;fri;388;0
38;technician;married;professional.course;yes;no;cellular;aug;mon;479;1
36;technician;divorced;professional.course;no;no;telephone;may;wed;446;0
28;blue-collar;married;basic.6y;no;no;cellular;may;mon;68;0
47;admin.;single;unknown;no;no;telephone;may;thu;127;0
34;admin.;married;university.degree;no;no;cellular;aug;tue;109;0
38;technician;married;university.degree;yes;yes;cellular;mar;tue;113;0
33;services;married;high.school;yes;no;telephone;jun;mon;393;0
