VRP	VRS	PRESION	TEMP_ESC	TEMP_AMB	LN_RFC	EMPUJE
1584	17211	192	1514	98	10,30738477	3910,298697
1939	17969	211	1637	85	10,31423867	5151,285987
1495	17680	190	1585	94	10,28117028	4240,926975
1933	19719	216	1726	87	10,285138	5790,520745
1541	18762	160	1703	85	10,31241333	4026,622985
2263	18853	163	1540	88	10,2947185	4283,826256
2184	20248	220	1529	90	10,31470276	4955,342395
1638	20947	198	1561	92	10,30031547	5009,07059
2096	20290	184	1527	91	10,29738602	4442,921656
1606	20933	182	1730	93	10,30547997	4316,283612
2178	18476	205	1711	97	10,28465997	5505,897337
1480	17449	164	1650	87	10,28946398	4394,767993
2285	20031	160	1637	100	10,30634927	3912,232283
2121	20726	150	1689	98	10,28257446	3914,261366
1541	18547	142	1697	97	10,29991192	3582,836575
1490	19637	182	1641	93	10,29089052	5028,046675
2139	17756	142	1595	99	10,2849673	3504,457041
1510	19164	191	1606	98	10,28650253	4813,943276
1738	18630	194	1653	98	10,30671683	4481,907262
1719	20369	151	1587	92	10,29160302	3660,284743
2045	20790	164	1742	85	10,29163694	4732,712702
1948	18056	214	1587	90	10,28380578	5014,268249
1420	19009	156	1665	92	10,27948952	4567,120051
1644	18709	166	1655	95	10,28199248	4186,035573
1803	18195	162	1664	101	10,29691382	3844,726426
1522	19295	181	1659	85	10,27594726	4553,565932
1444	18228	136	1616	95	10,30715104	4074,328397
1841	17707	137	1556	86	10,27753079	3642,722103
1569	19614	152	1566	85	10,302163	3978,643673
1914	18256	159	1632	100	10,3093859	4234,699401
1457	18990	185	1513	102	10,31174875	4494,070162
1586	20471	155	1665	98	10,31357529	3979,975266
1585	18305	220	1579	99	10,29846452	5316,228231
1775	20053	156	1731	85	10,28288243	4486,359988
1587	20040	156	1701	89	10,28857987	3864,838448
2039	20482	141	1589	94	10,28062177	3640,305139
2282	19266	174	1541	92	10,30851923	4233,358625
1465	19791	176	1706	87	10,29184041	5103,079634
1907	17682	156	1522	85	10,27849345	4107,965544
1825	20592	136	1633	95	10,31314387	3539,604117
1433	18768	130	1633	91	10,28062177	3269,599523
1532	20099	149	1639	95	10,30471034	3943,058906
1845	20551	159	1674	99	10,2786309	3813,533149
1909	19542	179	1621	91	10,30387311	4418,5135
1910	20426	215	1664	102	10,28963392	5316,431596
1485	20929	154	1597	97	10,2874566	3902,916018
1719	17644	136	1579	92	10,30681705	3223,034833
2237	20041	133	1513	101	10,30444251	3567,594608
1494	17197	159	1555	98	10,30078607	4068,450164
2093	20218	173	1719	102	10,31533227	4057,955951
2219	18751	201	1528	94	10,27880268	4903,461412
1587	17548	195	1618	89	10,29431268	4838,253779
1682	20767	203	1500	85	10,30681705	4365,459314
1630	20630	131	1740	97	10,29163694	3591,961916
2108	18634	177	1630	102	10,28687745	4956,242558
2255	19557	172	1699	85	10,27522351	4748,436168
1601	20380	194	1631	100	10,27563714	4665,04878
1965	17294	130	1621	85	10,27890574	3568,026161
1796	18869	180	1548	85	10,28735442	4359,039318
2138	19221	203	1541	102	10,28438671	5574,269836
1653	20248	187	1683	86	10,28223216	4700,432478
1699	18401	197	1527	95	10,30387311	3967,766442
1671	17871	148	1632	93	10,30951917	3248,345411
2238	19061	160	1628	92	10,30008008	4089,180644
1863	19775	166	1591	100	10,31529915	3992,911998
1526	20599	201	1549	102	10,3041411	5086,898646
1631	17866	208	1605	92	10,28670705	4883,4938
2171	19214	149	1678	89	10,30464339	3345,581382
2179	17694	153	1643	97	10,30975234	3885,510177
1560	17465	132	1645	95	10,2905171	3695,435273
1870	19004	153	1522	94	10,2858205	3592,215346
1536	19510	162	1643	100	10,30808562	4196,864497
2045	19664	159	1504	99	10,31417235	3511,801966
1776	20411	149	1533	95	10,29404205	3535,632333
2081	17528	180	1637	90	10,29593496	4084,200596
2099	20008	213	1630	92	10,31324344	5799,028587
1494	17747	163	1720	99	10,302163	4990,524306
1879	19191	148	1546	101	10,30407411	3492,270436
1598	19430	197	1667	93	10,27725557	4842,71374
2204	17830	156	1515	94	10,30236434	3597,680376
1414	19101	172	1564	91	10,2918065	3908,237846
1850	17054	154	1584	95	10,28168423	4365,529244
2165	18892	167	1679	94	10,30296812	3935,880304
2206	17449	194	1746	92	10,28653662	4818,554295
2012	18398	219	1630	100	10,29522554	5260,430124
1798	18560	140	1678	100	10,31347575	4143,745273
2284	20645	160	1668	93	10,30155873	3715,437041
1572	20755	167	1722	85	10,2758439	4060,230918
2239	17943	181	1627	99	10,29772318	5185,626935
1512	18321	206	1507	91	10,2972174	4321,156028
2051	19476	158	1638	92	10,31433813	3471,275324
2288	17444	219	1527	101	10,2932297	4671,627891
1748	20310	193	1613	101	10,28332711	4846,640719
2229	17978	143	1711	100	10,31151604	3751,852328
1403	20815	170	1542	85	10,30611531	3805,321907
1712	17799	141	1721	92	10,29563099	4464,271253
2122	17008	141	1534	100	10,27580944	3999,154319
1438	19811	195	1686	87	10,2871841	5066,572702
1461	20940	194	1537	97	10,28164998	4595,061999
2270	19764	178	1559	92	10,29424503	3849,866342
2013	17247	188	1553	90	10,30360505	4030,693329
1783	19483	170	1530	100	10,29994555	4175,8285
2234	19426	205	1730	96	10,28192399	5295,406442
1470	17391	197	1508	87	10,30249854	3984,140243
2181	19875	160	1645	96	10,28185549	4128,546282
2205	18784	147	1578	94	10,29799282	3765,775046
1583	17781	214	1662	91	10,30410761	5295,779644
1892	19384	206	1671	86	10,29136558	5400,209502
1503	20483	169	1617	89	10,27673934	4255,109721
2300	20055	218	1690	86	10,29153519	5072,459141
1777	17128	173	1544	100	10,30078607	3451,683669
1747	19945	200	1664	87	10,30601502	4596,641601
2300	17524	174	1653	101	10,30132363	4042,204369
2222	19278	144	1704	88	10,31168227	3835,277874
1593	20139	217	1502	97	10,29552964	5521,406732
1995	19395	142	1514	96	10,28803541	3698,030777
1459	18251	133	1539	95	10,31108372	3108,033058
1865	19579	198	1612	98	10,3050785	4507,292304
2066	17719	191	1594	85	10,28963392	4724,691773
1576	17419	188	1531	96	10,2834297	4528,349805
1411	20930	184	1574	100	10,29512415	4585,685162
1978	17443	192	1740	99	10,29133165	4545,238294
1706	19266	181	1553	88	10,31294468	4424,971637
2008	19826	147	1599	100	10,30034909	3786,372208
2258	18586	172	1712	85	10,27753079	4572,82526
2047	18943	198	1601	86	10,29268777	5036,870773
1749	20853	163	1667	97	10,30995216	3922,01095
1528	18701	218	1502	99	10,31407286	4713,607987
2168	19197	182	1527	102	10,29044919	4392,872032
1596	20326	141	1534	89	10,29092446	3180,979437
2173	17073	169	1532	88	10,28171849	3811,019015
2246	19117	160	1524	97	10,28062177	3861,54556
1457	19646	137	1537	97	10,29927263	3518,21563
1879	20428	213	1635	85	10,29468469	5274,526224
2042	17330	191	1614	102	10,31526602	4476,145035
1835	20234	144	1600	94	10,30931926	3305,526107
2282	20300	196	1707	85	10,29536071	4883,410443
1833	18604	140	1716	101	10,278081	4059,433674
1579	17494	146	1729	102	10,29488754	3725,627497
1531	17678	184	1630	99	10,29397438	4422,816672
2161	19559	217	1559	93	10,31513352	4840,063408
1558	19707	178	1625	100	10,31480219	4752,838361
1881	20279	173	1539	98	10,27601616	4296,602184
1430	20044	177	1705	87	10,27601616	4875,509055
1640	20687	185	1685	94	10,30454295	4574,813948
1487	20385	151	1642	93	10,27615395	4010,244792
2277	20679	132	1645	98	10,30206231	2808,545781
1897	19310	209	1537	85	10,29768947	4481,388294
1586	17403	186	1621	100	10,30464339	4348,541427
1690	17279	147	1672	102	10,31526602	3788,469807
1438	20851	168	1669	99	10,31008535	4315,60719
1596	18237	154	1562	96	10,30206231	3817,007862
1765	17624	167	1567	92	10,3031693	4158,203345
1742	17313	187	1697	98	10,28216369	5019,549126
2246	20072	215	1721	88	10,28483072	6231,433003
1824	17255	144	1654	96	10,29217944	3664,238073
