text,symspellpy,hunspell
Ellos están felices porque mañana ban a la plalla.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa3642e10>],Ellos están felices porque mañana ban a la playa
Ayer vi a un amijo en el parke y charlamos un rato.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e6810>],Ayer vi a un amijo en el parque y charlamos un rato
¿Por qué no me abisaste antes de salir de tú cassa?,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e6b90>],¿Por qué no me abisaste antes de salir de tú cassa?
Los niños juegan en la calle sin abriggo aunque ace frio.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e7190>],Los niños juegan en la calle sin abriggo aunque ace frio.
No se puede acer eso sin el permisso del profesor.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e7690>],No se puede acer eso sin el permisso del profesor.
El problema es que el coche no arranca por que la vatería esta muertta.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e7b90>],El problema es que el coche no arranca por que la vatería esta muertta.
Mis padres me regalaron un telefono nuebo para mi cumpleaños.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e7ed0>],Mis padres me regalaron un telefono nuebo para mi cumpleaños.
Este libro es muy interesannte pero demasiado largo para mi gustto.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e8390>],Este libro es muy interesannte pero demasiado largo para mi gustto.
Me gusta muncho la pizza con pechuga de pollo y extra de keso.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e8990>],Me gusta muncho la pizza con pechuga de pollo y extra de queso
"Fuimos al supermercado y compremos pann, leche y azucar moreno.",[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e8dd0>],"Fuimos al supermercado y compremos pann, leche y azucar moreno."
El exámen de matemáticas estuvo dificil pero lo pude pasar con buenna nota.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e9210>],El exámen de matemáticas estuvo dificil pero lo pude pasar con buenna nota.
La computadora se apagó sola y no puedo bolber a encenderlaa.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e9610>],La computadora se apagó sola y no puedo bolber a encenderlaa.
Hayer llovió mucho y las calles quedaron totalmente inhundadas.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e9910>],Hayer llovió mucho y las calles quedaron totalmente inhundadas.
Aver si puedes venir mañana a mi casa para estudiar juntos.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e8050>],Aver si puedes venir mañana a mi casa para estudiar juntos.
El medico me recomendo tomar mucha agua y deskanzar bien.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29ea250>],El medico me recomendo tomar mucha agua y deskanzar bien.
Cuando fuimos a la playa vimos muchas gaviotas bolando sobre el mar.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29ea710>],Cuando fuimos a la plalla vimos muchas gaviotas bolando sobre el mar
Necesito escribir una carta formal pero no se como empesarla.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29e9190>],Necesito escribir una carta formal pero no se como empesarla.
"El restaurante sirve comida deliciosa, pero el cervicio es muy lento.",[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29eab90>],"El restaurante sirve comida deliciosa, pero el cervicio es muy lento."
Mi hermano y yo jugamos en el patio hasta que anochesió.,[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29eac90>],Mi hermano y yo jugamos en el patio hasta que anochesió.
"Este reloj es muy bonito, pero su macanismo es fragil y se rompe fasilmente.",[<symspellpy.suggest_item.SuggestItem object at 0x78aaa29eb6d0>],"Este reloj es muy bonito, pero su macanismo es fragil y se rompe fasilmente."
